"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"7666203664","NonResidential","Warehouse","Non-Refrigerated Warehouse",1966,1,1,106.5,20520,"20",1167887.75,"LOW COST","MASONRY",NA,"NO HEAT","Rect or Slight Irreg","No"
"7666203675","NonResidential","Warehouse","Non-Refrigerated Warehouse",1945,1,1,67.69999695,22972,"12",495481,"LOW COST","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"7666203710","NonResidential","Warehouse","Non-Refrigerated Warehouse",1953,1,1,43.70000076,24990,"80",523614.0938,"LOW/AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7886100060","NonResidential","Warehouse","Non-Refrigerated Warehouse",1963,1,1,81.59999847,100386,NA,3626431.5,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7886100475","NonResidential","Warehouse","Non-Refrigerated Warehouse",1967,1,1,134.3000031,23296,NA,1429855.75,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7886101280","NonResidential","Refrigerated Warehouse","Refrigerated Warehouse",1957,1,1,114.8000031,25520,"100",1610794.75,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666203810","NonResidential","Warehouse","Non-Refrigerated Warehouse",1978,1,1,105.9000015,21755,NA,844076.8125,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666204125","NonResidential","Warehouse","Non-Refrigerated Warehouse",1952,1,1,32.09999847,39600,"85",405050.4063,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666204130","NonResidential","Warehouse","Non-Refrigerated Warehouse",1952,1,1,30.29999924,39600,"91",468396.9063,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666204280","NonResidential","Warehouse","Non-Refrigerated Warehouse",1970,1,1,78.59999847,23750,NA,522972.1875,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","No"
"7666204300","NonResidential","Warehouse","Non-Refrigerated Warehouse",1970,1,1,38.59999847,43390,"87",533742.8125,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
