"SqFt","OpenHours","WorkersCnt","ComputersCnt","IsBank","CooledPercent","CDD65"
380000,50,1000,1012,"No",100,1652
18000,45,46,73,"Yes",100,1750
95000,65,50,214,"No",100,1056
25500,40,40,42,"No",90,807
325000,45,469,378,"No",90,3499
186000,50,250,383,"No",100,3950
62000,60,200,297,"No",100,3387
24000,84,24,4,"No",100,1569
8000,56,5,6,"No",100,1761
1600,50,4,9,"No",100,500
13500,54,41,62,"No",85,468
295000,55,300,420,"No",90,2097
1001,37,1,1,"No",80,833
27000,40,121,156,"No",100,1970
16750,40,10,19,"No",100,1783
126000,60,300,320,"No",100,863
67000,50,290,329,"No",100,175
350000,50,900,880,"No",100,4904
24000,48,25,16,"No",100,1597
1200,40,4,4,"No",100,2201
24750,50,34,52,"No",75,1112
53000,49,16,22,"No",30,1422
50000,168,100,100,"No",100,1791
7500,60,15,18,"No",95,1662
8e+05,55,533,895,"No",100,1117
9200,50,9,22,"No",100,1224
23000,50,80,28,"No",80,1881
5e+05,60,1000,1022,"No",100,1070
4900,50,7,7,"Yes",100,855
168000,80,50,61,"No",40,1073
