SourceEUI,YearAlter1,LandUse,BBL,logkBTU,DOF_Property_Area,BldgClass,AssessTot,AssessLand,BldgArea,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt,BldgFront,BldgDepth,AreaUnitPrice
179.3,2009,5,1000920005,17.2754087324622,177433,O3,17308800,54e5,177433,10586,1,22,15,0,177433,0,1951,83,119,97.55118833587889
309.5,1989,5,1000920024,17.3321603652235,108793,O3,7288200,27e5,108793,12173,2,12,15,0,108793,0,1910,76,104,66.99144246412912
192.2,2009,5,1000930020,17.5404352801844,215755,O3,12915900,297e4,215755,19103,1,12,1,0,215755,0,1955,105.75,195.67,59.863734328289034
246.8,0,3,1000940001,20.0543343006114,2075590,D4,62809650,33164550,2075590,357935,9,6,1653,1641,173097,1902493,1971,210,45,30.261106480566973
164.9,0,3,1000950027,17.3533979917628,208576,D3,14927400,477e4,208576,41293,1,20,251,251,0,208576,1981,204.82,182,71.56815741024855
554.8,0,8,1001000001,18.9365946014732,301941,I1,32236650,4914e3,301941,62645,1,8,0,0,301941,0,1968,240,178.5,106.76473218277744
127.3,1988,3,1001000026,16.1290771925052,79422,D4,6694650,1152e3,79422,5964,1,14,43,39,6e3,73422,1901,83,70,84.2921356802901
210.9,0,4,1001007501,17.5285118422911,194294,RM,15876454,2321999,160157,9400,1,23,126,125,18441,141716,1900,,,99.13056563247314
104.5,1981,3,1001010001,16.2726247591725,111685,D4,14787450,153e4,111685,11075,1,11,51,41,11890,99795,1900,96,142,132.40318753637462
181.6,1928,8,1001010002,16.9445730038994,125840,W6,9780300,2637e3,125840,7865,1,16,1,0,125840,0,1900,102,104,77.72012078830261
249.2,2013,8,1001020001,18.6927959682956,526781,W6,47828250,20659950,526781,108027,1,18,0,0,526781,0,1968,140,565,90.79342269368105
160.4,1988,4,1001110100,19.1281110729615,1264820,D6,64318500,29880450,1264820,781e3,13,17,1947,1934,14e3,1250820,1950,121,167,50.85189987508104
191.5,0,5,1001137501,18.8747702691613,822318,RB,61580251,15712200,822318,58193,1,32,5,0,822318,0,1912,,,74.88617663726198
119.8,0,3,1001170001,17.9385707677201,515425,D4,45673200,1152e4,515425,186750,3,2,465,420,42225,473200,1960,120,125,88.61269825871854
186.5,2003,5,1001237501,19.0318692158139,988e3,RB,71733600,792e4,851351,29411,1,60.5,130,0,851351,0,1913,149,196,84.25854905908373
152.3,1985,5,1001240004,17.2566175180217,205e3,O2,13624650,1939500,205e3,12233,1,18,60,0,205e3,0,1927,87,152,66.46170731707318
150.4,2007,5,1001250020,18.7435124848579,918240,O3,74641950,8415e3,918240,53354,1,19,33,0,918240,0,1959,159,335,81.28806194458964
117.4,0,3,1001260013,16.6049342731319,138600,D5,12690000,1035e3,138600,9936,1,12,115,114,8500,130100,1921,72,165,91.55844155844156
90.4,2000,3,1001260027,17.842608950898,620552,D5,67569300,4545e3,620552,21826,1,21,395,390,82032,538520,1964,286,165,108.8857984504119
