PBAPLUS,MFBTU,FINALWT,ONEACT,ACT1,ACT2,ACT3,ACT1PCT,ACT2PCT,ACT3PCT,PRAMTC,PRUNIT,CWUSED,WOUSED,COUSED,SOUSED,SQFT,NFLOOR,NELVTR,NESLTR,EDSEAT,COURT,MONUSE,OPNWE,WKHRS,NWKER,COOK,HEATP,COOLP,SNACK,FASTFD,CAF,FDPREP,KITCHN,BREAKRM,OTFDRM,LABEQP,POOL,HTPOOL,RFGRES,RFGCOMPN,RFGWIN,RFGOPN,RFGCLN,RFGVNN,RFGICN,PCTERMN,LAPTPN,PRNTRN,SERVERN,TRNGRM,STDNRM,WBOARDS,TVVIDEON,RGSTRN,COPIERN,HDD65,CDD65,EUI
29,15698722,48.841044419,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,275000,2,2,NA,1250,NA,12,2,47,158,1,100,85,1,2,1,1,1,1,2,2,2,NA,1,25,4,2,6,15,3,260,50,90,4,1,1,1,35,4,12,3762,1429,57.1
28,3343868,160.42583102,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,69000,1,NA,NA,900,NA,9,2,45,57,1,100,100,2,2,1,2,2,2,2,2,2,NA,2,NA,1,NA,2,2,1,148,10,12,1,2,1,1,5,2,3,4747,1577,48.5
28,1720135,1162.262962,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,43500,1,NA,NA,300,NA,12,2,35,55,1,100,100,2,2,1,2,2,1,2,2,2,NA,1,NA,2,NA,2,1,2,70,5,20,0,2,1,1,NA,1,2,2185,2965,39.5
28,2110503,366.15594072,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,62000,1,NA,NA,400,NA,12,2,45,30,1,100,100,1,2,1,1,2,1,2,2,2,NA,1,NA,1,1,1,2,1,90,15,9,1,1,1,1,NA,2,2,3949,1548,34
28,201332,366.15594072,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,6800,1,NA,NA,20,NA,8,2,37,3,2,NA,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,NA,NA,2,NA,NA,NA,175,3800,29.6
28,3725783,316.08389453,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,68000,2,1,NA,400,NA,12,2,40,35,1,100,100,2,2,1,1,2,2,2,2,2,NA,2,NA,1,NA,NA,NA,NA,137,59,17,2,2,1,1,6,NA,1,5137,1003,54.8
28,2991498,583.35116997,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,62000,1,NA,NA,900,NA,9,2,50,66,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,4,1,NA,NA,2,NA,304,19,28,0,1,1,1,2,1,6,4816,1505,48.2
28,2148282,308.205725,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,42000,3,NA,NA,300,NA,12,2,50,50,1,100,1,2,2,2,2,1,2,2,1,2,NA,2,NA,NA,NA,3,1,NA,30,0,2,1,1,1,2,1,NA,3,4413,1276,51.1
28,3268167,242.08690218,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,51000,1,NA,NA,450,NA,12,2,50,40,1,100,15,2,2,1,2,1,1,2,2,2,NA,2,NA,NA,NA,5,2,NA,55,15,15,1,2,1,1,25,1,3,3348,2213,64.1
28,4747514,207.13166685,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,61000,2,NA,NA,600,NA,12,2,55,40,1,100,100,2,2,1,2,2,1,2,2,2,NA,1,NA,2,NA,2,NA,NA,175,10,4,2,2,1,1,NA,1,2,4832,995,77.8
