"SQFT","WKHRS","NWKER_SQFT","PCTERMN_SQFT","CDD65_COOLP","IsBank","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
10250,80,1.463,3.317,8.4,"No",144.9,1485260,1197.386
2500,50,1.6,2.4,7.39,"No",224.94,562352.35,316.263
380000,60,5,6.908,6.78,"No",195.7,74365570.19,25.323
8e+05,60,2.125,2.5,4.804,"No",103.19,82552187.38,23.718
6400,50,0.781,1.406,6.99,"Yes",111.04,710675,1879.456
1001,35,1.998,2.997,5.735,"No",275.73,276003.7,1879.456
42500,50,0.706,0.871,5.751,"No",46.75,1986833.1,249.445
360000,68,3.056,3.083,7.615,"No",72.39,26061339.43,23.718
60000,60,2.583,3.45,6.673,"No",218.58,13114951.85,276.953
14000,60,1.214,1.143,8.296,"No",131.28,1837924.2,270.641
6e+05,55,2.667,5.045,6.662,"Yes",147.21,88323912.51,25.323
6900,50,3.333,5.217,6.832,"No",351.51,2425404.07,1197.386
17000,45,0.412,1.353,7.116,"No",110.62,1880585,1667.755
178000,45,0.843,0.702,5.863,"No",107.05,19054988.2,24.435
1e+06,60,2.1,1.62,3.61,"No",53.08,53083717,19.69
335000,55,2.687,2.081,7.155,"No",157.12,52634863.3,48.841
44500,40,1.888,5.618,7.319,"No",144.29,6420950.2,158.3
30500,168,3.279,2.623,6.743,"No",331.58,10113311.47,1879.456
100001,168,0.85,1.98,6.08,"No",292.92,29292470.2,234.685
46000,50,1.13,0.5,5.569,"No",115.36,5306589.05,632.517
52000,65,1.154,1.288,7.272,"No",95.75,4978792,336.402
64000,50,0.812,0.578,7.712,"Yes",117.97,7550394.95,226.828
235000,45,0.426,0.864,7.257,"No",91.02,21389980.15,19.69
4500,48,1.111,2.667,7.318,"Yes",218.25,982119.6,1807.463
3200,168,1.562,0.312,1.463,"No",38.38,122802.4,1868.403
37000,50,0.811,2.081,7.015,"No",26.35,974820,19.69
2000,60,2.5,3.5,4.286,"No",77.73,155452.85,1851.67
6300,40,1.905,2.222,6.656,"No",134.31,846168.4,2140.906
5300,45,2.264,1.698,7.633,"No",202.22,1071750.4,1807.463
20250,40,0.988,1.728,4.718,"No",119.48,2419422.25,583.627
37000,80,0.541,1.243,7.355,"No",162.01,5994472.4,308.206
6900,50,2.464,6.667,2.999,"No",128.34,885571.22,1130.475
5600,56,0.536,1.071,8.084,"No",152.48,853902,48.841
5000,80,2.4,4.4,3.816,"No",137.81,689029.95,1667.755
2000,40,4,3,7.349,"No",141.22,282436.37,1849.185
114000,60,1.754,3.614,5.666,"No",254.1,28967801.1,77.11
2400,38,1.667,2.5,7.509,"No",113.79,273101.85,1667.755
186000,45,1.075,1.113,8.116,"No",126.36,23502830.4,50.319
26000,45,0.769,1.769,6.714,"No",192.76,5011722.8,48.841
205000,40,2.415,2.746,3.895,"No",93.71,19211010,48.841
230000,65,2.043,6.561,7.312,"No",179.97,41391973.11,15.238
75000,66,3.2,4.4,7.418,"No",204.37,15327418.4,48.841
14750,168,0.881,1.288,4.552,"No",111.08,1638393.05,583.351
9000,75,1.333,1.222,6.549,"No",140.23,1262097.2,1655.242
32500,168,0.523,0.308,7.335,"No",69.9,2271654,482.285
11750,72,1.277,4.17,6.686,"Yes",198.73,2335083.1,1834.966
