"SQFT","WKHRS","NWKER","PCTERMN_TOT","IsBank","COOLP","CDD65","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
5100,48,4,5,"No",100,1189,63.2,322295.05,1851.67
5000,40,20,10,"Yes",100,2036,275.48,1377418,1868.403
10500,168,10,30,"No",100,480,288.91,3033519.65,484.852
6300,40,1,3,"No",100,2174,77.62,489011.6,48.841
16750,70,72,70,"No",100,955,132.29,2215846.5,1162.263
2600,40,8,19,"No",75,525,101.09,262827.22,3231.29
2900,45,2,6,"No",100,854,58.7,170234.4,1729.173
4050,40,11,28,"Yes",100,467,236.63,958342,1484.515
4850,60,6,5,"Yes",100,950,128.73,624363.25,1667.755
53000,60,250,281,"No",100,1289,197.19,10451142.8,158.3
49000,45,84,99,"No",100,1487,248.42,12172361.03,356.198
2e+05,50,200,450,"No",85,1410,331.93,66385967.94,50.319
