"SQFT","WKHRS","NWKER_SQFT","PCTERMN_SQFT","CDD65_COOLP","IsBank","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
2500,51,1.2,2,7.565,"No",383.6,958991.6,23.718
1550,50,2.581,3.871,7.26,"No",147.94,229309.5,1655.242
14500,40,1.31,0.759,3.58,"No",185.76,2693532.8,639.722
16000,40,1.938,2.438,6.582,"No",160.89,2574255.6,1031.346
1400,84,5,8.571,6.644,"No",60.32,84445.2,1559.829
43500,40,3.448,3.517,7.959,"No",140.21,6098979.6,259.352
6300,35,0.952,0.635,6.817,"No",55.52,349775.65,1197.386
1600,50,2.5,3.75,7.38,"No",204.3,326882.15,1522.982
76000,90,0.789,0.526,5.029,"No",270.33,20545327.6,942.557
33500,60,0.507,0.627,7.105,"No",548.34,18369538.6,62.703
5000,40,0.8,1.4,8.15,"No",350.62,1753105.2,23.718
6300,37,0.952,2.54,7.305,"No",51.15,322252,961.783
1750,40,1.714,3.429,5.661,"No",191.14,334490.8,1484.515
96000,45,5.208,9.479,4.787,"No",899.47,86348711.86,55.969
4500,40,1.556,3.333,7.558,"No",129.63,583334.15,1868.403
1100,51,2.727,3.636,7.601,"No",279.76,307739.95,19.69
4500,70,1.333,0.889,7.394,"No",124.16,558723.2,23.718
